Season_team,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,pWAR,PA,AVG,OBP,SLG,wOBA,BsR,Off,Def,WAR,Wins
2018SDP,1457,8.642,3.205902663,1.142759138,0.3049228508,0.711,4.41,4.099345762,12.39115567,6059,0.235,0.297,0.38,0.2936806445,-5.672,-122,28.98336765,9.688968041,66.000
2018PIT,1434,8.385,3.11924739,1.092050394,0.296460177,0.736,4.004184778,4.058617187,14.94141944,6066,0.254,0.317,0.407,0.3122634177,-13.256,-51.728,50.80994579,19.19182274,82.000
2018PHI,1445.2,9.120358119,3.112750211,1.064560572,0.3031456114,0.71,4.146183281,3.833475913,19.68405907,6136,0.234,0.314,0.393,0.3073612679,2.937068927,-68.454,7.571030525,13.24162188,80.000
2018OAK,1465.2,7.595859568,2.9106204,1.129861084,0.2695735967,0.735,3.819421707,4.183172757,13.46363545,6255,0.252,0.325,0.439,0.3294486271,-5.779,83.2020482,-0.223,30.37719334,97.000
2018NYY,1456.1,10.09796594,3.052873425,1.093843312,0.3001588142,0.739,3.775922394,3.634,24.46287707,6271,0.249,0.329,0.451,0.335255048,14.63527803,102.7809528,-27.285,29.66265284,100.000
2018NYM,1460.2,8.91,2.982201585,1.139891102,0.2953406814,0.73,4.072800098,3.966911657,17.85814937,6177,0.234,0.312,0.389,0.3046802227,2.576042172,-43.096,10.59944397,16.29402967,77.000
2018MIN,1443.1,8.586,3.572981353,1.234642771,0.3022912047,0.724,4.502081216,4.392994393,11.39691475,6154,0.25,0.318,0.405,0.31318347,0.6451833714,-30.459,-12.978,17.01134508,78.000
2018MIL,1461,8.797,3.406569814,1.065708097,0.2785329572,0.744,3.733058422,4.006,14.48917061,6210,0.252,0.323,0.424,0.3221590586,8.197202716,7.709945489,79.15737486,28.68619231,96.000
2018MIA,1442,7.795429038,3.776008461,1.198336569,0.2903617383,0.699,4.762,4.565424294,2.377202294,6083,0.237,0.303,0.357,0.2890190006,-15.808,-138.949,52.40324678,10.43142599,63.000
2018LAD,1476,9.542686006,2.573171562,1.091463767,0.2843111915,0.762,3.396342559,3.598099663,18.9726934,6358,0.25,0.333,0.442,0.3326177141,11.39105662,99.28517011,35.365,34.07551451,92.000
2018LAA,1437.1,8.678575983,3.418832963,1.283627761,0.29390681,0.741,4.151440026,4.361265655,12.1701898,6108,0.242,0.313,0.413,0.3132712674,2.761330499,-13.828,4.065,20.31714311,80.000
2018KCR,1432,7.272,3.450419559,1.288408032,0.3093475243,0.706,4.946229859,4.662525363,6.708,6063,0.245,0.305,0.392,0.3026664541,-7.39,-98.831,-30.34,7.868240775,58.000
2018HOU,1455,10.43505327,2.690722093,0.9402063407,0.2832353764,0.779,3.111340719,3.232595106,28.63264888,6146,0.255,0.329,0.425,0.3265825807,-7.034,64.58253752,38.74083812,32.09086996,103.000
2018DET,1425.1,7.671894139,3.100329236,1.363892291,0.2909836066,0.705,4.596822167,4.585360826,10.0492704,6029,0.241,0.3,0.38,0.2953189756,6.436041088,-118.525,-43.949,4.321519893,64.000
2018COL,1452.1,8.731472589,3.253387586,1.140234887,0.2994477912,0.713,4.331653187,4.058984812,17.06169884,6178,0.256,0.322,0.435,0.325,3.239997891,-85.1,47.05966242,15.72651069,91.000
2018CLE,1457.1,9.535224251,2.513494994,1.235132675,0.2975912976,0.76,3.773330322,3.784858331,21.97779677,6300,0.259,0.332,0.434,0.330300363,13.74845412,55.08538022,-12.171,26.40999193,91.000
2018CIN,1441,7.857046064,3.323,1.424011528,0.299928758,0.715,4.653020126,4.682984382,8.686863111,6240,0.254,0.328,0.401,0.3168908832,-1.9,-44.775,19.13736407,17.20042585,67.000
2018CHW,1437,7.885175594,4.089769391,1.227557122,0.2916465476,0.694,4.847598022,4.730367145,9.842830879,6071,0.241,0.302,0.401,0.304,-7.212,-67.517,-27.5,11.41200388,62.000
2018CHC,1476.1,8.126,3.791826993,0.9571010256,0.2843857073,0.762,3.645518556,4.135142372,14.11861558,6369,0.258,0.333,0.41,0.3206487731,2.247142916,3.400543708,59.893,26.76501828,95.000
2018BOS,1458.2,9.612893178,3.159050903,1.085923748,0.2943169969,0.758,3.751372948,3.81856575,18.52552182,6302,0.268,0.339,0.453,0.3395620682,-5.079,74.10382293,24.71896721,32.172,108.000
2018BAL,1431,7.566039474,3.704403367,1.471698451,0.3103367083,0.7,5.188680437,4.980137062,7.113899993,6034,0.239,0.298,0.391,0.2987655094,-9.606,-104.071,-54.792,4.710621416,47.000
2018ATL,1456.2,8.791989032,3.923340151,0.9453087294,0.2782631038,0.741,3.750342475,3.986974597,15.06992283,6251,0.257,0.324,0.417,0.3188996842,12.63945525,-18.477,68.82332483,25.05712153,90.000
2018ARI,1463,8.907724038,3.211209909,1.070403303,0.2892331133,0.757,3.727956331,3.914360441,11.98460536,6157,0.235,0.31,0.397,0.3058723204,7.0709815,-81.011,72.11568937,18.65991421,82.000
2017WSN,1446.2,9.064287643,3.079493743,1.175806702,0.2873028187,0.744,3.882028476,3.99266339,22.98294952,6214,0.266,0.332,0.449,0.3307814677,11.86908156,2.375840874,16.93268248,22.89432675,97.000
2017TOR,1465,8.428669946,3.372696648,1.247099125,0.3033301158,0.718,4.423208718,4.308493551,16.57898558,6154,0.24,0.312,0.412,0.3115724512,-15.812,-72.569,-46.046,8.662450978,76.000
2017TEX,1434.1,6.946083737,3.507552673,1.342784029,0.2887009631,0.709,4.7,4.877602891,11.15124341,6122,0.244,0.32,0.43,0.3212328281,6.289752652,-70.142,-23.327,11.05872296,78.000
2017TBR,1445,8.42076722,3.132874195,1.202076977,0.2825380964,0.73,3.986161997,4.166637427,14.99301179,6147,0.245,0.317,0.422,0.316,11.21749936,1.113386433,-4.283,20.12902374,80.000
2017STL,1450.1,8.384,3.05929765,1.135601359,0.298102981,0.736,4.015,4.093287435,15.69548839,6219,0.256,0.334,0.426,0.3256460303,2.045937424,8.359818207,37.70443016,25.574,83.000
2017SFG,1452,7.648762772,3.074381147,1.128099534,0.3082080925,0.711,4.500001436,4.215491748,11.40279795,6137,0.249,0.309,0.38,0.2963879471,2.565628176,-134.11,15.98071199,8.956,64.000
2017SEA,1440.1,7.773199241,3.061790698,1.480906929,0.2828627069,0.727,4.455217893,4.700338341,9.336850269,6166,0.259,0.325,0.424,0.3207988334,-12.635,7.151,27.49957276,23.95626703,78.000
2017SDP,1430.2,8.335280529,3.485,1.421715773,0.2985710704,0.711,4.699210985,4.677911462,7.914391692,5954,0.234,0.299,0.393,0.2975306949,6.654632689,-132.713,23.83819658,9.259164945,71.000
2017PIT,1440.2,7.883847954,3.19227124,1.136973318,0.305601907,0.732,4.22929086,4.233,16.59110976,6136,0.244,0.318,0.386,0.3043436357,-2.235,-119.974,11.8149878,9.944678796,75.000
2017PHI,1441,8.175575025,3.29146527,1.380291887,0.3037667072,0.73,4.565580858,4.562914717,14.33315788,6133,0.25,0.315,0.409,0.3103070966,-9.525,-109.444,12.66319513,11.06697778,66.000
2017OAK,1431,7.559748642,3.157232794,1.320754754,0.294370229,0.689,4.673,4.56574643,9.553069651,6126,0.246,0.319,0.436,0.3226465016,-5.51,19.90339044,-52.13,17.16719585,75.000
